category_id,clc_code,clc_name,parent_code,query_terms,target_count,enabled,authority_source,reviewed
clc_r11,R11,卫生基础科学,R1,卫生基础科学|卫生学基础,40,true,cnki-hosted-clc-pdf-2012,true
clc_r12,R12,"环境卫生、环境医学",R1,环境卫生|环境医学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r13,R13,劳动卫生,R1,劳动卫生|职业卫生,40,true,cnki-hosted-clc-pdf-2012,true
clc_r14,R14,放射卫生,R1,放射卫生|辐射防护,40,true,cnki-hosted-clc-pdf-2012,true
clc_r15,R15,"营养卫生、食品卫生",R1,营养卫生|食品卫生,40,true,cnki-hosted-clc-pdf-2012,true
clc_r16,R16,个人卫生,R1,个人卫生|健康行为,40,true,cnki-hosted-clc-pdf-2012,true
clc_r17,R17,妇幼卫生,R1,妇幼卫生|妇幼保健,40,true,cnki-hosted-clc-pdf-2012,true
clc_r18,R18,流行病学与防疫,R1,流行病学|防疫,40,true,cnki-hosted-clc-pdf-2012,true
clc_r19,R19,"保健组织与事业（卫生事业管理）",R1,卫生事业管理|卫生管理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r129,R129,"灾害医学、灾害卫生",R12,灾害医学|灾害卫生,40,true,cnki-hosted-clc-pdf-2012,true
clc_r135,R135,职业性疾病预防,R13,职业病预防|职业性疾病,40,true,cnki-hosted-clc-pdf-2012,true
clc_r151,R151,营养学,R15,营养学|营养,40,true,cnki-hosted-clc-pdf-2012,true
clc_r155,R155,饮食卫生与食品检查,R15,饮食卫生|食品检查,40,true,cnki-hosted-clc-pdf-2012,true
clc_r186,R186,"预防接种、计划免疫、药物预防",R18,预防接种|计划免疫|药物预防,40,true,cnki-hosted-clc-pdf-2012,true
clc_r197,R197,医疗卫生制度与机构,R19,医疗卫生制度|医疗机构,40,true,cnki-hosted-clc-pdf-2012,true
clc_r21,R21,"中医预防、卫生学",R2,中医预防|中医卫生,40,true,cnki-hosted-clc-pdf-2012,true
clc_r22,R22,中医基础理论,R2,中医基础理论|中医理论,40,true,cnki-hosted-clc-pdf-2012,true
clc_r24,R24,中医临床学,R2,中医临床学|中医临床,40,true,cnki-hosted-clc-pdf-2012,true
clc_r241,R241,中医诊断学,R24,中医诊断|辨证,40,true,cnki-hosted-clc-pdf-2012,true
clc_r242,R242,中医治疗学,R24,中医治疗|中医疗法,40,true,cnki-hosted-clc-pdf-2012,true
clc_r245,R245,"针灸学、针灸疗法",R24,针灸|针刺,40,true,cnki-hosted-clc-pdf-2012,true
clc_r246,R246,针灸疗法临床应用,R245,针灸临床|针刺治疗,40,true,cnki-hosted-clc-pdf-2012,true
clc_r2479,R247.9,中医康复医学,R247,中医康复|康复医学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r248,R248,中医护理学,R24,中医护理|护理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r25,R25,中医内科,R2,中医内科|中医内科学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r256,R256,脏腑病证,R25,脏腑病证|脏腑辨证,40,true,cnki-hosted-clc-pdf-2012,true
clc_r271,R271,中医妇产科,R2,中医妇科|中医妇产科,40,true,cnki-hosted-clc-pdf-2012,true
clc_r272,R272,中医儿科,R2,中医儿科|小儿中医,40,true,cnki-hosted-clc-pdf-2012,true
clc_r28,R28,中药学,R2,中药学|中药,40,true,cnki-hosted-clc-pdf-2012,true
clc_r289,R289,方剂学,R28,方剂学|中药方剂,40,true,cnki-hosted-clc-pdf-2012,true
clc_r31,R31,医用一般科学,R3,医用一般科学|医学基础科学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r318,R318,生物医学工程,R31,生物医学工程|医学工程,40,true,cnki-hosted-clc-pdf-2012,true
clc_r32,R32,人体形态学,R3,人体形态学|人体形态,40,true,cnki-hosted-clc-pdf-2012,true
clc_r321,R321,"人体胚胎学（人体胎生学、发生学）",R32,人体胚胎学|胚胎发育,40,true,cnki-hosted-clc-pdf-2012,true
clc_r322,R322,人体解剖学,R32,人体解剖学|解剖学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r33,R33,人体生理学,R3,人体生理学|生理学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r331,R331,血液与循环生理,R33,循环生理|血液生理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r332,R332,呼吸生理,R33,呼吸生理|呼吸功能,40,true,cnki-hosted-clc-pdf-2012,true
clc_r333,R333,消化与吸收生理,R33,消化生理|吸收生理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r334,R334,排泄生理,R33,排泄生理|肾脏生理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r335,R335,内分泌生理,R33,内分泌生理|激素调节,40,true,cnki-hosted-clc-pdf-2012,true
clc_r338,R338,神经生理学,R33,神经生理学|神经生理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r36,R36,病理学,R3,病理学|病理,40,true,cnki-hosted-clc-pdf-2012,true
clc_r37,R37,"医学微生物学（病原细菌学、病原微生物学）",R3,医学微生物学|病原微生物,40,true,cnki-hosted-clc-pdf-2012,true
clc_r392,R392,医学免疫学,R3,医学免疫学|免疫学,40,true,cnki-hosted-clc-pdf-2012,true
clc_r44,R44,诊断学,R4,诊断学|临床诊断,40,true,cnki-hosted-clc-pdf-2012,true
clc_r445,R445,影像诊断学,R44,影像诊断|医学影像,40,true,cnki-hosted-clc-pdf-2012,true
clc_r446,R446,实验室诊断,R44,实验室诊断|检验诊断,40,true,cnki-hosted-clc-pdf-2012,true
clc_r45,R45,治疗学,R4,治疗学|临床治疗,40,true,cnki-hosted-clc-pdf-2012,true
clc_r453,R453,"药物疗法、化学疗法",R45,药物疗法|化学疗法,40,true,cnki-hosted-clc-pdf-2012,true
clc_r454,R454,"物理疗法、自然疗法",R45,物理疗法|自然疗法,40,true,cnki-hosted-clc-pdf-2012,true
clc_r457,R457,液疗法,R45,液体治疗|输液疗法,40,true,cnki-hosted-clc-pdf-2012,true
